tweet_id,favorites,retweets,timestamp
854732716440526848,24188,6690,Wed Apr 19 16:25:34 +0000 2017
854482394044301312,31131,7608,Tue Apr 18 23:50:52 +0000 2017
854365224396361728,20046,5159,Tue Apr 18 16:05:17 +0000 2017
854120357044912130,33911,8285,Mon Apr 17 23:52:16 +0000 2017
854010172552949760,17169,3433,Mon Apr 17 16:34:26 +0000 2017
853760880890318849,30414,6403,Mon Apr 17 00:03:50 +0000 2017
853639147608842240,37198,11265,Sun Apr 16 16:00:07 +0000 2017
853299958564483072,16508,3928,Sat Apr 15 17:32:18 +0000 2017
852936405516943360,0,2243,Fri Apr 14 17:27:40 +0000 2017
852912242202992640,9658,2037,Fri Apr 14 15:51:39 +0000 2017
852672615818899456,15939,2388,Thu Apr 13 23:59:28 +0000 2017
852553447878664193,17492,3885,Thu Apr 13 16:05:56 +0000 2017
852311364735569921,35325,10961,Thu Apr 13 00:03:59 +0000 2017
852226086759018497,21378,7570,Wed Apr 12 18:25:07 +0000 2017
852189679701164033,12217,1741,Wed Apr 12 16:00:27 +0000 2017
851953902622658560,0,10706,Wed Apr 12 00:23:33 +0000 2017
851861385021730816,0,23,Tue Apr 11 18:15:55 +0000 2017
851591660324737024,17300,3819,Tue Apr 11 00:24:08 +0000 2017
851464819735769094,25944,7855,Mon Apr 10 16:00:07 +0000 2017
851224888060895234,22090,6350,Mon Apr 10 00:06:42 +0000 2017
850753642995093505,33348,10352,Sat Apr 08 16:54:09 +0000 2017
850380195714523136,13994,2915,Fri Apr 07 16:10:12 +0000 2017
850333567704068097,3647,367,Fri Apr 07 13:04:55 +0000 2017
850145622816686080,17519,4244,Fri Apr 07 00:38:06 +0000 2017
850019790995546112,21944,5459,Thu Apr 06 16:18:05 +0000 2017
849776966551130114,32390,8404,Thu Apr 06 00:13:11 +0000 2017
849668094696017920,0,5513,Wed Apr 05 17:00:34 +0000 2017
849412302885593088,17039,3487,Wed Apr 05 00:04:08 +0000 2017
849336543269576704,12240,2101,Tue Apr 04 19:03:06 +0000 2017
849051919805034497,32617,7396,Tue Apr 04 00:12:06 +0000 2017
848690551926992896,27104,4826,Mon Apr 03 00:16:10 +0000 2017
848324959059550208,20229,4037,Sun Apr 02 00:03:26 +0000 2017
848213670039564288,8834,832,Sat Apr 01 16:41:12 +0000 2017
848212111729840128,17618,3444,Sat Apr 01 16:35:01 +0000 2017
847978865427394560,0,3652,Sat Apr 01 01:08:10 +0000 2017
847971574464610304,0,482,Sat Apr 01 00:39:12 +0000 2017
847962785489326080,25296,5730,Sat Apr 01 00:04:17 +0000 2017
847842811428974592,5935,1522,Fri Mar 31 16:07:33 +0000 2017
847617282490613760,7558,468,Fri Mar 31 01:11:22 +0000 2017
847606175596138505,20208,3774,Fri Mar 31 00:27:14 +0000 2017
847251039262605312,22036,4800,Thu Mar 30 00:56:03 +0000 2017
847157206088847362,21588,6572,Wed Mar 29 18:43:12 +0000 2017
847116187444137987,23108,3583,Wed Mar 29 16:00:12 +0000 2017
846874817362120707,21685,4404,Wed Mar 29 00:01:05 +0000 2017
846514051647705089,48410,13076,Tue Mar 28 00:07:32 +0000 2017
846505985330044928,15304,3492,Mon Mar 27 23:35:28 +0000 2017
846153765933735936,34394,10226,Mon Mar 27 00:15:53 +0000 2017
846139713627017216,33188,10972,Sun Mar 26 23:20:02 +0000 2017
846042936437604353,17256,3224,Sun Mar 26 16:55:29 +0000 2017
845812042753855489,31737,9894,Sun Mar 26 01:38:00 +0000 2017
845677943972139009,27154,5365,Sat Mar 25 16:45:08 +0000 2017
845459076796616705,0,15071,Sat Mar 25 02:15:26 +0000 2017
